timestamp,temperature,wind
2026-07-29T13:44,20.5,3.7
2026-07-29T18:56,28.5,7.3
2026-07-30T01:24,26.4,13.2
2026-07-30T08:06,18.8,4.3
2026-07-30T13:26,20.4,4.5
2026-07-30T19:08,30.2,11.5
2026-07-31T01:51,24.7,12.0
2026-07-31T08:33,19.0,1.4
2026-07-31T13:39,19.7,2.9
2026-07-31T19:07,33.4,8.4
2026-08-01T01:52,25.3,11.9
2026-08-01T08:02,20.3,4.1
2026-08-01T12:55,18.6,1.0
2026-08-01T18:53,32.1,6.6
2026-08-02T01:48,26.1,13.0
2026-08-02T08:04,20.0,3.8
2026-08-02T12:57,18.8,5.2
2026-08-02T18:54,31.3,8.1
2026-08-03T01:51,25.9,11.3
2026-08-03T09:20,19.9,4.5
2026-08-03T14:14,19.1,2.4
2026-08-03T19:17,30.7,8.2
2026-08-04T01:26,26.6,11.6
2026-08-04T08:19,19.3,1.9
2026-08-04T13:46,18.4,4.0
2026-08-04T19:17,28.0,8.7
2026-08-05T01:41,24.6,13.1
2026-08-05T08:15,18.6,4.4
